,Date,Market Cap,Volume,Current Price,ID
0,2017-01-01,16045986192.85,3470830329.607551,998.05,0
1,2017-02-01,16387926824.930002,4444828109.160988,1019.1988000000001,0
2,2017-03-01,16652715382.972502,4399421326.952804,1035.5313,0
3,2017-04-01,18187664239.845806,8705359110.270647,1130.8495163207272,0
4,2017-05-01,15934886737.499996,12102750396.564293,990.6674999999997,0
5,2017-06-01,14382278476.6875,10713248031.59434,894.0325,0
6,2017-07-01,14481153594.445597,7496626398.452948,900.0787999999999,0
7,2017-08-01,14611836820.125006,4735054808.286752,908.0850000000004,0
8,2017-09-01,14513519375.287489,4072687734.819042,901.8788880390637,0
9,2017-10-01,14577733897.52693,3216810928.8509765,905.7594626984339,0
10,2017-11-01,12624083564.875004,5258603516.371743,784.2775000000003,0
11,2017-12-01,12869633173.255001,3344901197.95181,799.4275,0
12,2017-01-13,13274790985.975603,1860269657.1335685,824.4988000000003,0
13,2017-01-14,13169067953.750004,1204479772.0607476,817.8250000000003,0
14,2017-01-15,13236623006.074997,923896735.4232056,821.9124999999998,0
15,2017-01-16,13341392032.219997,831361487.5460993,828.3099999999998,0
16,2017-01-17,14564800038.017504,1316827456.7886617,904.1525000000003,0
17,2017-01-18,14079682756.124992,1147970282.1944575,873.9349999999996,0
18,2017-01-19,14451431614.25,875858520.4030075,896.89,0
19,2017-01-20,14366002978.3256,613796288.0985693,891.4588,0
20,2017-01-21,14822821174.630005,683491208.3440663,919.6775000000004,0
21,2017-01-22,14810403902.437784,830201798.1765068,918.7788120146554,0
22,2017-01-23,14814052397.812502,467022882.86124325,918.9075000000001,0
23,2017-01-24,14281760609.625599,378666162.59162563,885.7887999999999,0
24,2017-01-25,14407365094.065598,381951425.9179588,893.4737999999999,0
25,2017-01-26,14762033603.999998,58349366.78102703,915.3599999999999,0
26,2017-01-27,14811184892.8875,49029317.21219829,918.2875,0
27,2017-01-28,14844529150.19,21882209.48833088,920.245,0
28,2017-01-29,14747986190.022495,20288320.821250055,914.1424999999998,0
29,2017-01-30,14860100039.695711,30166025.396133278,920.9911458822621,0
30,2017-01-31,15624634422.4056,101775253.2428098,968.2662999999999,0
31,2017-01-02,15922459702.093218,92784081.5523147,986.5728903454353,0
32,2017-02-02,16276789219.937464,93269627.17186482,1008.4033182231417,0
33,2017-03-02,16392262891.437502,138411478.18957058,1015.4425000000001,0
34,2017-04-02,16687723783.25,99014097.13559519,1033.63,0
35,2017-05-02,16420090077.568644,75284571.16114573,1016.9261585954309,0
36,2017-06-02,16544150319.051847,73413586.50003262,1024.5110886063283,0
37,2017-07-02,16981015237.500008,89525304.92230712,1051.5000000000005,0
38,2017-08-02,17045265643.7481,164316931.3624948,1055.3013,0
39,2017-09-02,15858560740.5,333977588.2356619,981.7049999999999,0
40,2017-10-02,16028562068.135601,155061226.92505568,992.1113,0
41,2017-11-02,16334579162.865597,61189139.07653336,1010.9462999999998,0
42,2017-12-02,16167938833.727505,36448049.44931276,1000.5237691031117,0
43,2017-02-13,16098583564.75675,75754126.52273774,996.1039358698114,0
44,2017-02-14,16326912555.985212,79285701.69931836,1010.1021618594351,0
45,2017-02-15,16308969767.019999,38397960.040879354,1008.8812999999999,0
46,2017-02-16,16731535006.800604,66797083.39238934,1034.9038000000003,0
47,2017-02-17,17083619843.997013,93994063.10950576,1056.5580910529798,0
48,2017-02-18,17118312229.51949,55001149.210340396,1058.5809306486606,0
49,2017-02-19,17037979881.749996,37478366.695671685,1053.5024999999998,0
50,2017-02-20,17500458951.95995,55971656.67700667,1082.0168234958396,0
51,2017-02-21,18202277765.49074,157173668.2490902,1125.4088148356532,0
52,2017-02-22,18168250822.125,99272532.79966931,1123.3049999999998,0
53,2017-02-23,19176691563.44728,132273779.09306018,1185.6547846887681,0
54,2017-02-24,19108706913.124996,303444815.37207663,1180.8709999999999,0
55,2017-02-25,18601876715.06894,118187068.14571138,1149.4036781698383,0
56,2017-02-26,19110682514.326004,89353606.5435028,1180.6730000000002,0
57,2017-02-27,19314424735.21033,87503104.90059088,1193.1295150369579,0
58,2017-02-28,19271383899.146996,139855221.83568653,1190.3309999999997,0
59,2017-01-03,19875003126.771698,105587214.84284867,1227.4771489660905,0
60,2017-02-03,20437807786.697002,174318244.9248126,1262.0810000000001,0
61,2017-03-03,20884867165.511112,152484577.44121936,1289.5406116191473,0
62,2017-04-03,20551257963.730083,121628867.96214925,1268.8145320151446,0
63,2017-05-03,20673857896.125004,62090177.87740499,1276.2330000000002,0
64,2017-06-03,20753062038.099995,65232264.87056507,1280.9859999999996,0
65,2017-07-03,19978921138.285755,213974224.53913003,1233.0565084079958,0
66,2017-08-03,18629281761.825005,248575333.3901731,1149.6310000000003,0
67,2017-09-03,19305673114.12323,149501332.4258168,1191.2367224851023,0
68,2017-10-03,17829356645.959938,417086882.86842495,1100.0105899712148,0
69,2017-11-03,19147525540.5318,169071412.54824838,1181.2041227520244,0
70,2017-12-03,19950023304.0,104613431.4350169,1230.56,0
71,2017-03-13,20158188044.32141,131403644.08735795,1243.2649223901926,0
72,2017-03-14,20214039431.746094,86807305.13232267,1246.5567394807624,0
73,2017-03-15,20409261728.958996,72763975.2935764,1258.4569999999999,0
74,2017-03-16,19743578282.65421,137592935.4142275,1217.3145410078776,0
75,2017-03-17,17423426593.321995,283988947.7236811,1074.0938695062455,0
76,2017-03-18,15606390507.000002,342885274.9538922,961.9620000000001,0
77,2017-03-19,16606689806.263306,177388243.2413791,1023.4901008756748,0
78,2017-03-20,16816818647.793924,101975751.4316815,1036.3320123738727,0
